peer_assignment_id,peer_assignment_review_schema_part_id,peer_assignment_review_schema_part_option_id,peer_assignment_review_schema_part_option_text,peer_assignment_review_schema_part_option_score
"Yt0OUgjCEeWk6iIAC3_PpA@10","15","17","幾乎正確，僅小部分不正確",2
"ZAMmhwiXEeW3OCIAC44JnQ@7","21","24","標出的點皆不正確",
"RqtD8gZEEeWUACIAC5cRqg@9","23","26","有待加強",
"RqtD8gZEEeWUACIAC5cRqg@10","1","Yes","Yes",
"mOdhnQjIEeWRIiIAC9lFJw@8","23","25","僅一面有完整繪製",1
"RqtD8gZEEeWUACIAC5cRqg@6","23","26","有待加強",
"lPnnmgiwEeWCQyIAC5XEog@9","3","No","No",0
"RqtD8gZEEeWUACIAC5cRqg@11","18","20","<co-content><text>不完整</text></co-content>",
"lPnnmgiwEeWCQyIAC5XEog@8","3","Yes","Yes",1
"lPnnmgiwEeWCQyIAC5XEog@7","45","Yes","Yes",1
"Yt0OUgjCEeWk6iIAC3_PpA@7","26","No","No",0
"Yt0OUgjCEeWk6iIAC3_PpA@6","15","16","完全正確",3
"Yt0OUgjCEeWk6iIAC3_PpA@8","15","18","很大部分不正確",1
"ZAMmhwiXEeW3OCIAC44JnQ@10","17","18","<co-content><text>是，有標註出拋物線交點</text></co-content>",
"ZAMmhwiXEeW3OCIAC44JnQ@10","17","19","<co-content><text>否，有標註出拋物線交點，但標註不完整</text></co-content>",
"zwkOqgjdEeWeSiIACymIuA@3","9","No","No",
"hnL5aAjbEeWi2iIAC7RHVw@5","12","16","完全沒有畫出",
"lPnnmgiwEeWCQyIAC5XEog@4","3","No","No",0
"RqtD8gZEEeWUACIAC5cRqg@4","10","11","相當完整",
"hnL5aAjbEeWi2iIAC7RHVw@3","2","5","明顯不正確",
"lPnnmgiwEeWCQyIAC5XEog@9","34","35","完全正確",2
"Yt0OUgjCEeWk6iIAC3_PpA@7","10","11","完全正確",3
"Yt0OUgjCEeWk6iIAC3_PpA@7","1","2","是",1
"Yt0OUgjCEeWk6iIAC3_PpA@4","10","14","幾乎完全不正確，或繪製的不是上視圖",0
"mOdhnQjIEeWRIiIAC9lFJw@10","18","20","垂線繪製不正確，以至於弧繪製不正確",2
"mOdhnQjIEeWRIiIAC9lFJw@11","8","10","有些偏離，但還算準確",1
"zwkOqgjdEeWeSiIACymIuA@5","9","Yes","Yes",
"ZAMmhwiXEeW3OCIAC44JnQ@10","21","24","<co-content><text>標出的點皆不正確</text></co-content>",
"lPnnmgiwEeWCQyIAC5XEog@8","27","29","否，對應到錯誤的面向，或看不出為何面向",0
"ZAMmhwiXEeW3OCIAC44JnQ@10","4","5","<co-content><text>是，兩者皆等分正確 </text></co-content>",
"lPnnmgiwEeWCQyIAC5XEog@9","46","47","有",2
"f3MV8QimEeWTpSIAC4-MSg@5","2","No","No",
"Yt0OUgjCEeWk6iIAC3_PpA@10","10","12","幾乎正確，僅小部分不正確",2
"hnL5aAjbEeWi2iIAC7RHVw@2","2","5","明顯不正確",
"hnL5aAjbEeWi2iIAC7RHVw@2","2","4","小部分不正確",
"mOdhnQjIEeWRIiIAC9lFJw@9","12","14","有畫出長寬為直徑的框，但明顯沒有以圓心為中心",2
"Yt0OUgjCEeWk6iIAC3_PpA@3","10","13","很大部分不正確",1
"Yt0OUgjCEeWk6iIAC3_PpA@4","20","21","完全正確",3
"mOdhnQjIEeWRIiIAC9lFJw@12","32","34","<co-content><text>部分應當為平行的線，沒有繪製平行</text></co-content>",1
"Yt0OUgjCEeWk6iIAC3_PpA@8","10","12","幾乎正確，僅小部分不正確",2
"Yt0OUgjCEeWk6iIAC3_PpA@8","28","Yes","Yes",1
"ZAMmhwiXEeW3OCIAC44JnQ@10","1","Yes","Yes",
"ZAMmhwiXEeW3OCIAC44JnQ@6","32","36","沒有填寫",
"-biz_QZbEeW7kSIACySI9A@3","1","2","有",
"mOdhnQjIEeWRIiIAC9lFJw@9","23","25","僅一面有完整繪製",1
"Yt0OUgjCEeWk6iIAC3_PpA@7","4","5","是",1
"Yt0OUgjCEeWk6iIAC3_PpA@5","26","No","No",0
"ZAMmhwiXEeW3OCIAC44JnQ@9","4","5","是，兩者皆等分正確",
"ZAMmhwiXEeW3OCIAC44JnQ@6","2","Yes","Yes",
"lPnnmgiwEeWCQyIAC5XEog@8","30","33","幾乎完全不正確，或繪製的不是右側視圖",0
"hnL5aAjbEeWi2iIAC7RHVw@2","1","Yes","Yes",1
"ZAMmhwiXEeW3OCIAC44JnQ@10","12","14","<co-content><text>否，有畫出頂點連線，但繪製不完整 </text></co-content>",
"Yt0OUgjCEeWk6iIAC3_PpA@8","15","17","幾乎正確，僅小部分不正確",2
"ZAMmhwiXEeW3OCIAC44JnQ@10","26","28","<co-content><text>標出的點中，部分不是正確的點 </text></co-content>",
"-biz_QZbEeW7kSIACySI9A@4","1","2","有",
"lPnnmgiwEeWCQyIAC5XEog@8","38","39","有",2
"lPnnmgiwEeWCQyIAC5XEog@10","23","24","<co-content><text>完全正確</text></co-content>",2
"zwkOqgjdEeWeSiIACymIuA@7","4","5","<co-content><text>是，三視圖與等角圖皆有標註</text></co-content>",
"hnL5aAjbEeWi2iIAC7RHVw@8","12","15","明顯不正確",
"Yt0OUgjCEeWk6iIAC3_PpA@9","10","14","幾乎完全不正確，或繪製的不是上視圖",0
"RqtD8gZEEeWUACIAC5cRqg@6","2","3","相當完整",
"ZAMmhwiXEeW3OCIAC44JnQ@3","12","15","否，沒有畫出頂點連線，或完全繪製錯誤",
"mOdhnQjIEeWRIiIAC9lFJw@11","8","11","圓心位置明顯偏離過大，或看不出圓心如何定位",0
"Yt0OUgjCEeWk6iIAC3_PpA@12","15","17","<co-content><text>幾乎正確，僅小部分不正確</text></co-content>",2
"RqtD8gZEEeWUACIAC5cRqg@8","18","21","完全沒有繪製",
"ZAMmhwiXEeW3OCIAC44JnQ@8","32","35","不合理",
"f3MV8QimEeWTpSIAC4-MSg@5","3","4","<co-content><text>有繪製出正確同心圓</text></co-content>",
"ZAMmhwiXEeW3OCIAC44JnQ@7","12","13","是，兩者皆完整畫出頂點與兩側等分點的連線  ",
"f3MV8QimEeWTpSIAC4-MSg@3","19","20","完整繪製橢圓，四個部分皆有找出交點並完整連接",
"lPnnmgiwEeWCQyIAC5XEog@6","34","35","完全正確",2
"RqtD8gZEEeWUACIAC5cRqg@10","2","3","相當完整",
"RqtD8gZEEeWUACIAC5cRqg@6","14","16","不完整",
"mOdhnQjIEeWRIiIAC9lFJw@12","8","9","<co-content><text> 是，非常接近正確的位置</text></co-content>",2
"lPnnmgiwEeWCQyIAC5XEog@5","41","Yes","Yes",1
"Yt0OUgjCEeWk6iIAC3_PpA@8","7","8","是",1
"ZAMmhwiXEeW3OCIAC44JnQ@3","2","No","No",
"zwkOqgjdEeWeSiIACymIuA@5","4","7","兩種圖皆沒有標註尺寸",
"hnL5aAjbEeWi2iIAC7RHVw@5","2","6","完全沒有畫出",
"-biz_QZbEeW7kSIACySI9A@6","13","No","No",
"mOdhnQjIEeWRIiIAC9lFJw@10","12","17","沒有畫出方框",0
"Yt0OUgjCEeWk6iIAC3_PpA@8","4","6","否，對應到錯誤的面向，或看不出為何面向",0
"RqtD8gZEEeWUACIAC5cRqg@5","10","11","相當完整",
"Yt0OUgjCEeWk6iIAC3_PpA@8","20","21","完全正確",3
"RqtD8gZEEeWUACIAC5cRqg@9","10","13","完全沒有繪製",
"RqtD8gZEEeWUACIAC5cRqg@5","18","19","相當完整",
"ZAMmhwiXEeW3OCIAC44JnQ@8","32","33","合理，且敘述豐富",
"ZAMmhwiXEeW3OCIAC44JnQ@5","4","6","否，兩者其中一個沒有正確等分",
"lPnnmgiwEeWCQyIAC5XEog@1","1","Yes","Yes",1
"Yt0OUgjCEeWk6iIAC3_PpA@7","26","Yes","Yes",1
"Yt0OUgjCEeWk6iIAC3_PpA@11","1","3","否，對應到錯誤的面向，或看不出為何面向",0
"zwkOqgjdEeWeSiIACymIuA@7","1","Yes","Yes",
"hnL5aAjbEeWi2iIAC7RHVw@7","12","14","小部分不正確",
"lPnnmgiwEeWCQyIAC5XEog@6","15","17","是",1
"ZAMmhwiXEeW3OCIAC44JnQ@3","12","14","否，有畫出頂點連線，但繪製不完整 ",
"mOdhnQjIEeWRIiIAC9lFJw@7","18","20","垂線繪製不正確，以至於弧繪製不正確",2
"RqtD8gZEEeWUACIAC5cRqg@5","6","8","不完整",
"lPnnmgiwEeWCQyIAC5XEog@8","7","8","完全正確",2
"mOdhnQjIEeWRIiIAC9lFJw@4","2","4","其中一軸或兩軸皆明顯沒有夾30度",0
"f3MV8QimEeWTpSIAC4-MSg@3","1","Yes","Yes",
"f3MV8QimEeWTpSIAC4-MSg@2","19","20","完整繪製橢圓，四個部分皆有找出交點並完整連接",
"f3MV8QimEeWTpSIAC4-MSg@5","11","12","<co-content><text>有，繪製足夠的線</text></co-content>",
"-biz_QZbEeW7kSIACySI9A@5","11","Yes","Yes",
"s8EwFwYvEeWW0yIAC5cQUQ@2","12","14","無",
"lPnnmgiwEeWCQyIAC5XEog@10","46","47","<co-content><text>有</text></co-content>",2
"mOdhnQjIEeWRIiIAC9lFJw@11","2","3","是，兩軸與水平線皆夾幾乎30度",2
"-biz_QZbEeW7kSIACySI9A@6","13","Yes","Yes",
"ZAMmhwiXEeW3OCIAC44JnQ@9","2","No","No",
"zwkOqgjdEeWeSiIACymIuA@3","9","Yes","Yes",
"lPnnmgiwEeWCQyIAC5XEog@8","27","28","是",1
"ZAMmhwiXEeW3OCIAC44JnQ@3","4","6","否，兩者其中一個沒有正確等分",
"s8EwFwYvEeWW0yIAC5cQUQ@3","16","17","<co-content><text>是，與題目圖案相似</text></co-content>",
"RqtD8gZEEeWUACIAC5cRqg@11","23","24","<co-content><text>大致精準</text></co-content>",
"mOdhnQjIEeWRIiIAC9lFJw@12","23","25","<co-content><text>僅一面有完整繪製</text></co-content>",1
"Yt0OUgjCEeWk6iIAC3_PpA@3","15","17","幾乎正確，僅小部分不正確",2
"s8EwFwYvEeWW0yIAC5cQUQ@3","16","19","<co-content><text>非常不正確</text></co-content>",
"Yt0OUgjCEeWk6iIAC3_PpA@9","27","No","No",0
"RqtD8gZEEeWUACIAC5cRqg@5","10","13","完全沒有繪製",
"lPnnmgiwEeWCQyIAC5XEog@10","46","48","<co-content><text>沒有</text></co-content>",0
"mOdhnQjIEeWRIiIAC9lFJw@9","18","21","完全沒有繪製垂線",0
"ZAMmhwiXEeW3OCIAC44JnQ@9","8","9","是，兩者皆完整畫出垂直延伸線",
"s8EwFwYvEeWW0yIAC5cQUQ@3","2","3","<co-content><text>是</text></co-content>",
"RqtD8gZEEeWUACIAC5cRqg@10","23","26","有待加強",
"ZAMmhwiXEeW3OCIAC44JnQ@10","32","36","<co-content><text>沒有填寫</text></co-content>",
"mOdhnQjIEeWRIiIAC9lFJw@4","2","3","是，兩軸與水平線皆夾幾乎30度",2
"lPnnmgiwEeWCQyIAC5XEog@6","42","43","有",2
"hnL5aAjbEeWi2iIAC7RHVw@4","2","5","明顯不正確",
"RqtD8gZEEeWUACIAC5cRqg@7","18","21","完全沒有繪製",
"lPnnmgiwEeWCQyIAC5XEog@9","45","Yes","Yes",1
"ZAMmhwiXEeW3OCIAC44JnQ@9","17","18","是，有標註出拋物線交點",
"lPnnmgiwEeWCQyIAC5XEog@8","30","31","完全正確",2
"lPnnmgiwEeWCQyIAC5XEog@6","19","20","完全正確",2
"Yt0OUgjCEeWk6iIAC3_PpA@10","27","Yes","Yes",1
"-biz_QZbEeW7kSIACySI9A@4","4","6","無",
"RqtD8gZEEeWUACIAC5cRqg@11","1","No","No",
"mOdhnQjIEeWRIiIAC9lFJw@8","18","21","完全沒有繪製垂線",0
"mOdhnQjIEeWRIiIAC9lFJw@10","27","28","完全正確",3
"Yt0OUgjCEeWk6iIAC3_PpA@7","10","14","幾乎完全不正確，或繪製的不是上視圖",0
"mOdhnQjIEeWRIiIAC9lFJw@7","12","13","是，完全正確",3
"mOdhnQjIEeWRIiIAC9lFJw@9","18","20","垂線繪製不正確，以至於弧繪製不正確",2
"hnL5aAjbEeWi2iIAC7RHVw@8","2","4","小部分不正確",
"hnL5aAjbEeWi2iIAC7RHVw@6","12","15","明顯不正確",
"Yt0OUgjCEeWk6iIAC3_PpA@7","27","No","No",0
"zwkOqgjdEeWeSiIACymIuA@2","2","No","No",
"RqtD8gZEEeWUACIAC5cRqg@5","6","9","完全沒有繪製",
"lPnnmgiwEeWCQyIAC5XEog@10","41","No","No",0
"Yt0OUgjCEeWk6iIAC3_PpA@11","10","13","很大部分不正確",1
"lPnnmgiwEeWCQyIAC5XEog@9","23","26","幾乎完全不正確",0
"RqtD8gZEEeWUACIAC5cRqg@5","6","7","相當完整",
"zwkOqgjdEeWeSiIACymIuA@4","2","No","No",
"Yt0OUgjCEeWk6iIAC3_PpA@4","4","5","是",1
"lPnnmgiwEeWCQyIAC5XEog@7","41","Yes","Yes",1
"f3MV8QimEeWTpSIAC4-MSg@5","19","20","<co-content><text>完整繪製橢圓，四個部分皆有找出交點並完整連接</text></co-content>",
"ZAMmhwiXEeW3OCIAC44JnQ@6","26","30","完全沒有標出拋物線交點",
"mOdhnQjIEeWRIiIAC9lFJw@7","2","4","其中一軸或兩軸皆明顯沒有夾30度",0
"ZAMmhwiXEeW3OCIAC44JnQ@5","3","Yes","Yes",
"hnL5aAjbEeWi2iIAC7RHVw@9","2","5","明顯不正確",
"lPnnmgiwEeWCQyIAC5XEog@2","1","Yes","Yes",1
"RqtD8gZEEeWUACIAC5cRqg@10","14","15","相當完整",
"ZAMmhwiXEeW3OCIAC44JnQ@3","4","5","是，兩者皆等分正確",
"hnL5aAjbEeWi2iIAC7RHVw@6","12","13","完全正確",
"RqtD8gZEEeWUACIAC5cRqg@8","10","13","完全沒有繪製",
"s8EwFwYvEeWW0yIAC5cQUQ@1","16","17","是，與題目圖案相似",
"Yt0OUgjCEeWk6iIAC3_PpA@6","7","9","否，對應到錯誤的面向，或看不出為何面向",0
"RqtD8gZEEeWUACIAC5cRqg@8","10","12","不完整",
"Yt0OUgjCEeWk6iIAC3_PpA@7","7","9","否，對應到錯誤的面向，或看不出為何面向",0
"ZAMmhwiXEeW3OCIAC44JnQ@6","21","23","標出的點中，部分不是正確的點 ",
"zwkOqgjdEeWeSiIACymIuA@5","3","No","No",
"Yt0OUgjCEeWk6iIAC3_PpA@5","15","19","幾乎完全不正確，或繪製的不是上視圖",0
"-biz_QZbEeW7kSIACySI9A@4","4","5","有",
"lPnnmgiwEeWCQyIAC5XEog@9","30","32","部分不正確",1
"mOdhnQjIEeWRIiIAC9lFJw@6","18","20","垂線繪製不正確，以至於弧繪製不正確",2
"Yt0OUgjCEeWk6iIAC3_PpA@5","1","3","否，對應到錯誤的面向，或看不出為何面向",0
"s8EwFwYvEeWW0yIAC5cQUQ@2","16","19","非常不正確",
"hnL5aAjbEeWi2iIAC7RHVw@9","7","9","小部分不正確",
"Yt0OUgjCEeWk6iIAC3_PpA@12","26","No","No",0
"lPnnmgiwEeWCQyIAC5XEog@8","1","Yes","Yes",1
"hnL5aAjbEeWi2iIAC7RHVw@3","1","No","No",0
"mOdhnQjIEeWRIiIAC9lFJw@10","12","16","方寬長寬與中心皆明顯不正確",1
"lPnnmgiwEeWCQyIAC5XEog@9","30","31","完全正確",2
"RqtD8gZEEeWUACIAC5cRqg@7","2","3","相當完整",
"s8EwFwYvEeWW0yIAC5cQUQ@3","9","10","<co-content><text>有</text></co-content>",
"-biz_QZbEeW7kSIACySI9A@4","13","No","No",
"ZAMmhwiXEeW3OCIAC44JnQ@8","32","34","合理",
"RqtD8gZEEeWUACIAC5cRqg@6","2","4","不完整",
"s8EwFwYvEeWW0yIAC5cQUQ@2","12","13","有",
"Yt0OUgjCEeWk6iIAC3_PpA@5","1","2","是",1
"lPnnmgiwEeWCQyIAC5XEog@7","49","Yes","Yes",1
"RqtD8gZEEeWUACIAC5cRqg@7","14","17","完全沒有繪製",
"f3MV8QimEeWTpSIAC4-MSg@4","7","8","是，4個部分皆是由3個以上的交點連結",
"mOdhnQjIEeWRIiIAC9lFJw@8","32","34","部分應當為平行的線，沒有繪製平行",1
"mOdhnQjIEeWRIiIAC9lFJw@7","8","10","有些偏離，但還算準確",1
"zwkOqgjdEeWeSiIACymIuA@5","8","Yes","Yes",
"hnL5aAjbEeWi2iIAC7RHVw@7","12","16","完全沒有畫出",
"hnL5aAjbEeWi2iIAC7RHVw@9","2","4","小部分不正確",
"zwkOqgjdEeWeSiIACymIuA@2","4","5","是，三視圖與等角圖皆有標註",
"f3MV8QimEeWTpSIAC4-MSg@5","7","9","<co-content><text>有些部分不到3個以上交點</text></co-content>",
"ZAMmhwiXEeW3OCIAC44JnQ@5","8","11","否，沒有畫出垂直延伸線，或完全繪製錯誤",
"ZAMmhwiXEeW3OCIAC44JnQ@10","12","13","<co-content><text>是，兩者皆完整畫出頂點與兩側等分點的連線  </text></co-content>",
"ZAMmhwiXEeW3OCIAC44JnQ@10","3","Yes","Yes",
"ZAMmhwiXEeW3OCIAC44JnQ@10","4","6","<co-content><text>否，兩者其中一個沒有正確等分</text></co-content>",
"f3MV8QimEeWTpSIAC4-MSg@3","19","21","有繪製完整橢圓，但部份省略或沒有用相同的方式繪製出來",
"lPnnmgiwEeWCQyIAC5XEog@5","27","28","是",1
"lPnnmgiwEeWCQyIAC5XEog@8","15","18","否，對應到錯誤的面向，或看不出為何面向",0
"ZAMmhwiXEeW3OCIAC44JnQ@8","26","28","標出的點中，部分不是正確的點 ",
"lPnnmgiwEeWCQyIAC5XEog@5","7","10","幾乎完全不正確，或繪製的不是上視圖",0
"mOdhnQjIEeWRIiIAC9lFJw@10","1","No","No",0
"lPnnmgiwEeWCQyIAC5XEog@5","41","No","No",0
"-biz_QZbEeW7kSIACySI9A@4","11","No","No",
"lPnnmgiwEeWCQyIAC5XEog@6","45","Yes","Yes",1
"zwkOqgjdEeWeSiIACymIuA@6","4","5","是，三視圖與等角圖皆有標註",
"lPnnmgiwEeWCQyIAC5XEog@4","1","Yes","Yes",1
"Yt0OUgjCEeWk6iIAC3_PpA@12","26","Yes","Yes",1
"Yt0OUgjCEeWk6iIAC3_PpA@8","20","23","很大部分不正確",1
"mOdhnQjIEeWRIiIAC9lFJw@7","12","15","方框長寬明顯不是直徑",2
"mOdhnQjIEeWRIiIAC9lFJw@7","5","7","否，明顯比例不正確",0
"lPnnmgiwEeWCQyIAC5XEog@10","42","43","<co-content><text>有</text></co-content>",2
"lPnnmgiwEeWCQyIAC5XEog@4","7","8","完全正確",2
"ZAMmhwiXEeW3OCIAC44JnQ@7","8","10","否，有畫出垂直延伸線，但繪製不完整",
"ZAMmhwiXEeW3OCIAC44JnQ@10","2","Yes","Yes",
"zwkOqgjdEeWeSiIACymIuA@3","4","6","僅其中一種圖有標註",
"Yt0OUgjCEeWk6iIAC3_PpA@11","15","18","很大部分不正確",1
"Yt0OUgjCEeWk6iIAC3_PpA@6","10","11","完全正確",3
"ZAMmhwiXEeW3OCIAC44JnQ@6","32","34","合理",
"Yt0OUgjCEeWk6iIAC3_PpA@3","10","11","完全正確",3
"mOdhnQjIEeWRIiIAC9lFJw@11","23","24","有，兩面皆完整繪製",2
"lPnnmgiwEeWCQyIAC5XEog@9","11","12","完全正確",2
"f3MV8QimEeWTpSIAC4-MSg@2","19","22","沒有完整繪製橢圓",
"RqtD8gZEEeWUACIAC5cRqg@9","10","12","不完整",
"mOdhnQjIEeWRIiIAC9lFJw@6","23","24","有，兩面皆完整繪製",2
"RqtD8gZEEeWUACIAC5cRqg@5","1","Yes","Yes",
"Yt0OUgjCEeWk6iIAC3_PpA@5","27","Yes","Yes",1
"lPnnmgiwEeWCQyIAC5XEog@6","27","28","是",1
"lPnnmgiwEeWCQyIAC5XEog@5","27","29","否，對應到錯誤的面向，或看不出為何面向",0
"hnL5aAjbEeWi2iIAC7RHVw@4","12","16","完全沒有畫出",
"hnL5aAjbEeWi2iIAC7RHVw@3","12","14","小部分不正確",
"ZAMmhwiXEeW3OCIAC44JnQ@6","4","6","否，兩者其中一個沒有正確等分",
"ZAMmhwiXEeW3OCIAC44JnQ@8","8","10","否，有畫出垂直延伸線，但繪製不完整",
"lPnnmgiwEeWCQyIAC5XEog@9","19","22","幾乎完全不正確，或繪製的不是前視圖",0
"zwkOqgjdEeWeSiIACymIuA@6","3","Yes","Yes",
"mOdhnQjIEeWRIiIAC9lFJw@7","32","33","是，皆保持平行",2
"lPnnmgiwEeWCQyIAC5XEog@6","49","Yes","Yes",1
"mOdhnQjIEeWRIiIAC9lFJw@10","27","29","幾乎正確，有一小部分描繪有誤",2
"RqtD8gZEEeWUACIAC5cRqg@9","14","16","不完整",
"f3MV8QimEeWTpSIAC4-MSg@4","11","12","有，繪製足夠的線",
"RqtD8gZEEeWUACIAC5cRqg@4","1","Yes","Yes",
"lPnnmgiwEeWCQyIAC5XEog@7","1","No","No",0
"Yt0OUgjCEeWk6iIAC3_PpA@4","4","6","否，對應到錯誤的面向，或看不出為何面向",0
"RqtD8gZEEeWUACIAC5cRqg@5","2","5","完全沒有繪製",
"RqtD8gZEEeWUACIAC5cRqg@4","10","13","完全沒有繪製",
"Yt0OUgjCEeWk6iIAC3_PpA@11","7","8","是",1
"ZAMmhwiXEeW3OCIAC44JnQ@7","21","25","完全沒有標出拋物線交點",
"hnL5aAjbEeWi2iIAC7RHVw@7","2","5","明顯不正確",
"hnL5aAjbEeWi2iIAC7RHVw@8","7","11","完全沒有畫出",
"ZAMmhwiXEeW3OCIAC44JnQ@9","4","7","否，兩者皆沒有正確等分，或完全看不出其等分",
"lPnnmgiwEeWCQyIAC5XEog@5","38","40","沒有",0
"hnL5aAjbEeWi2iIAC7RHVw@10","12","14","<co-content><text>小部分不正確</text></co-content>",
"Yt0OUgjCEeWk6iIAC3_PpA@11","1","2","是",1
"Yt0OUgjCEeWk6iIAC3_PpA@12","15","18","<co-content><text>很大部分不正確</text></co-content>",1
"Yt0OUgjCEeWk6iIAC3_PpA@8","26","Yes","Yes",1
"RqtD8gZEEeWUACIAC5cRqg@8","14","16","不完整",
"Yt0OUgjCEeWk6iIAC3_PpA@5","26","Yes","Yes",1
"zwkOqgjdEeWeSiIACymIuA@3","1","No","No",
"f3MV8QimEeWTpSIAC4-MSg@2","11","13","沒有繪製足夠的線",
"f3MV8QimEeWTpSIAC4-MSg@5","7","10","<co-content><text>所有部分皆由不到3個交點</text></co-content>",
"lPnnmgiwEeWCQyIAC5XEog@10","42","44","<co-content><text>沒有</text></co-content>",0
"ZAMmhwiXEeW3OCIAC44JnQ@9","12","14","否，有畫出頂點連線，但繪製不完整 ",
"Yt0OUgjCEeWk6iIAC3_PpA@12","15","19","<co-content><text>幾乎完全不正確，或繪製的不是上視圖</text></co-content>",0
"lPnnmgiwEeWCQyIAC5XEog@5","23","25","部分不正確",1
"zwkOqgjdEeWeSiIACymIuA@3","8","No","No",
"ZAMmhwiXEeW3OCIAC44JnQ@5","17","20","否，完全沒有標出拋物線交點",
"hnL5aAjbEeWi2iIAC7RHVw@10","1","Yes","Yes",1
"ZAMmhwiXEeW3OCIAC44JnQ@9","8","10","否，有畫出垂直延伸線，但繪製不完整",
"-biz_QZbEeW7kSIACySI9A@7","13","Yes","Yes",
"Yt0OUgjCEeWk6iIAC3_PpA@3","15","16","完全正確",3
"mOdhnQjIEeWRIiIAC9lFJw@3","1","Yes","Yes",1
"RqtD8gZEEeWUACIAC5cRqg@4","10","12","不完整",
"Yt0OUgjCEeWk6iIAC3_PpA@12","4","5","<co-content><text>是</text></co-content>",1
"ZAMmhwiXEeW3OCIAC44JnQ@3","4","7","否，兩者皆沒有正確等分，或完全看不出其等分",
"ZAMmhwiXEeW3OCIAC44JnQ@4","12","13","是，兩者皆完整畫出頂點與兩側等分點的連線  ",
