discussion_question_id,taiwan_discussions_user_id,discussion_question_title,discussion_question_details,discussion_question_context_type,course_id,course_module_id,course_item_id,discussion_forum_id,country_cd,group_id,discussion_question_created_ts,discussion_question_updated_ts
"ZfcWbZoZEeWNbBIwwhtGwQ",13a238baafcd37c01c4eed6c3129ac2c5d3dd8f8,"大家好，急需作业评分！","<co-content><text>大家好，我还有一周的时间就要到证书颁发截止日了。</text><text>目前我已经完成了所有作业，但5.14，5.15，6.14三个互评作业还没有人评分。</text><text>希望大家有时间可以给我打个分，让我顺利拿到证书！</text><text>我在这里先谢谢大家了！</text><text>Su Wu</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","a0TlK","","","","",2015-12-03 23:55:58.022,2015-12-05 11:47:12.856
"Tt1k3poZEeWWpRIGHRsuuw",13a238baafcd37c01c4eed6c3129ac2c5d3dd8f8,"大家好！急需作业评分！","<co-content><text>大家好，我还有一周的时间就要到证书颁发截止日了。</text><text>目前我已经完成了所有作业，但5.14，5.15，6.14三个互评作业还没有人评分。</text><text>希望大家有时间可以给我打个分，让我顺利拿到证书！</text><text>我在这里先谢谢大家了！</text><text>Su Wu</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","MDbPH","","","","",2015-12-03 23:55:19.266,2015-12-05 11:47:28.481
"WmXkQBQ0EeWHGCIACznL2w",b3b61ec971a2aa84f089fb1128515ca4c5fa2efa,"Transcript of the class","<co-content><text>In other Coursera courses there is the option that allows you to see the transcript of what the teacher says in video. In this course AutoCad 2D, can you see the trnscripción? And if not, what could I do?</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","7DQYI","","","",2015-06-16 14:31:19.215,2015-06-16 14:31:19.215
"HAcvxBmhEeWA7CIAC5WDNQ",d235fb54ad258037707b6efbade1e76e954d84a5,"新課程是否開設有qq群等平臺用於交流？","<co-content><text>討論區同學提出的部分問題並不影響課程內容的準確性，好比三視圖標題下YU-CHOU CHEN同學提出“在【505 圓柱與曲面慣用表示】約11:42處，其中右側圖，表示挖洞的圓柱的兩條隱藏線是否應左右對稱?”還有蓄勢待發標題下徐曉夏同學提出“字幕好像錯了哦”\\n</text><text>此類問題對同學的參與討論並沒有什麼幫助，如果開設qq群解決此類問題可以提高問題的解答效率。\\n</text><text/></co-content>","forum","POZJ3uOtEeSoXCIACw4Gzg","","","cH5ZNhV6EeWd3iIAC7VAtA","","",2015-06-23 12:12:25.533,2015-06-23 12:12:25.533
"sAl0S2QNEeWEHBK0qnR5nQ",d235fb54ad258037707b6efbade1e76e954d84a5,"作业互评滞后很严重呀","<co-content><text>如图：</text><img assetId=\"hsixkmQNEeWV4Aocv9XvAw\" alt=\"\"/><text>诸位可以自己参与进来评分？</text><text>以帮助各位同学顺利结业，拿到证书？</text></co-content>","forum","POZJ3uOtEeSoXCIACw4Gzg","","","cH5ZNhV6EeWd3iIAC7VAtA","","",2015-09-26 05:16:05.543,2015-09-26 05:16:05.543
"9SnFwRgaEeWmISIAC9QOog",d235fb54ad258037707b6efbade1e76e954d84a5,"學員提出課件錯誤及時核查、更正","<co-content><text>有學員提出「405 拋物線繪製下載後，簡報變成了501 正投影基本概念的PDF」。經實際操作下載，確實有誤。還有學員質疑習題答案有bug。每次學員提出質疑時我們都應該及時核查，盡快給予回復，身為助教沒有權限更正課件錯誤，希望老師們對以上問題及時核查。</text></co-content>","forum","POZJ3uOtEeSoXCIACw4Gzg","","","cH5ZNhV6EeWd3iIAC7VAtA","","",2015-06-21 13:39:36.604,2015-06-21 13:39:36.604
"I-g4rilyEeWmXSIAC00EeA",d235fb54ad258037707b6efbade1e76e954d84a5,"标注设置、比例、出图，看看如醍醐灌顶。","<co-content><text>今天在知乎上看到了一个关于cad制图比例的一个问题，碰巧有幸能够看见，觉得写的甚是通俗易懂，看后如拨云见日、醍醐灌顶，分享链接给给位同学，即便现在不能全部理解也推荐收藏起来。在学习过程中不断温故知新，更好的掌握cad的运用。</text><text>链接附下：看排名第一的回答即可。</text><text><a href=\"http://www.zhihu.com/question/32003888\">http://www.zhihu.com/question/32003888</a></text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","vxWbI","","","","",2015-07-13 15:16:31.01,2015-07-13 15:16:31.01
"KhW4DR8nEeWM2iIAC0KUpw",d235fb54ad258037707b6efbade1e76e954d84a5,"411中的幾點小問題","<co-content><text>學員<strong>Kayla Tsai</strong>幾何作圖一節中提問到“在我要說的問題是：</text><text>測驗二中有一題，是關於AutoCad裡面的鎖點模式的點的圖樣，</text><text>答案是不是有點怪怪的阿?</text><text>還有411的作業說明，圖片連結好像損毀了~”</text><text>我找到測驗二中的問題，用兩個瀏覽器查看411作業說明中的圖片，都沒加載成功，各位老師助教是否有這種情況？截圖如下：</text><img assetId=\"4OrKzx8mEeWp3w7e4MFGyw\" alt=\"\"/><img assetId=\"89JFEB8mEeWp3w7e4MFGyw\" alt=\"\"/><text/></co-content>","forum","POZJ3uOtEeSoXCIACw4Gzg","","","cH5ZNhV6EeWd3iIAC7VAtA","","",2015-06-30 12:54:37.492,2015-06-30 12:54:37.492
"lVP8sCFpEeWmISIAC9QOog",d235fb54ad258037707b6efbade1e76e954d84a5,"关于作业互评的疑问","<co-content><text>作业互评的界面是这样的：</text><img assetId=\"_RRO6CFoEeW0oQ5ybW6tfw\" alt=\"\"/><text>有点疑问，所有学习者提交的作业都会汇总到一起，接受其他同学的打分，会不会有些学习者的作业永远没被评分？还是只要评分次数达到5次就会从这个页面中筛选出去。作业评分系统是怎么运行的？</text></co-content>","forum","POZJ3uOtEeSoXCIACw4Gzg","","","cH5ZNhV6EeWd3iIAC7VAtA","","",2015-07-03 09:55:06.526,2015-07-03 09:55:06.526
"7S-UIzKsEeWV8SIACyyfnQ",d235fb54ad258037707b6efbade1e76e954d84a5,"请各位同学帮忙。","<co-content><text>各位同学们：</text><text>      感谢你们参加CAD-2D本门课程，从6月中旬课程上线至今已经有一个月多了，很多同学都很积极的参加课程学习并提交了作业，顺利的我想也应该完成该课程了吧。这里我要祝贺各位通过课程拿到认证证书的同学，还没有完成课程的同学也要再接再厉，相信你们一定会顺利完成课程，达到自己心中的目标。</text><text>     在这里我有一个问题需要各位同学给予帮助。我发现作业审阅界面中有不少同学的作业还没被审阅，并且提交时间已经很久了。如下图，部分同学的作业已经提交一个月了，还没被大家审阅。</text><img assetId=\"Rv44MjKrEeWHeA4OLMb9AQ\" alt=\"\"/><text>这些作业没被审阅有可能是多方面原因造成的，这里我希望得到大家的帮助：</text><text>1、优先审阅提交时间长的同学的作业；</text><text>2、如果多次尝试无法打开被审阅同学的作业，请在作业下方评论区进行反馈；</text><text>3、如果您的时间充裕，请多审阅1~2位同学的作业。</text><text>相信大家互帮互助一定都会顺利通过课程，感谢你们的参与，祝你们学习顺利。</text><text/></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","6mmBL","","","","",2015-07-25 09:09:59.975,2015-07-25 09:09:59.975
"zcsNVTLUEeWNVyIAC0uErA",ebfe726df48b562f2c9e368bbd1b9b8c543decb0,"关于角度的输入老师应该给补充说明的","<co-content><text>这么也调不出来角度输入，第二个图没办法跟老师画呀。我看很多同学也提出来了</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","iFuUg","","","",2015-07-25 13:55:27.176,2015-07-25 13:55:27.176
"7YVq_WcmEeWn7w41YP_VgQ",07e5ba1604c1765a0fcd4149a33c9ef5c9aa8f2f,"[幾何圖法]更多方法","<co-content><text>分享網上更多的方法給大家:D</text><text><a href=\"http://www.pmai.tnc.edu.tw/df_ufiles/df_pics/04.pdf\">http://www.pmai.tnc.edu.tw/df_ufiles/df_pics/04.pdf</a></text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","L5nbS","","","","",2015-09-30 03:54:19.603,2015-09-30 03:54:19.603
"IlW9FxceEeWd3iIAC7VAtA",10830cc784241aded662e029038d0276480b4140,"我只能安装autocad2014","<co-content><text>里面的锁点和格线在哪找啊</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","L5nbS","","","","",2015-06-20 07:29:49.717,2015-06-20 07:29:49.717
"Bf7ufiUsEeW_lSIAC0kOqg",b13caf504abde2faae67cdbf0ac222e7d321af56,"手残第一张","<co-content><text>手残呀，还需多加练习！</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","iCjGL","","","",2015-07-08 04:44:31.405,2015-07-08 05:22:11.051
"VYVowSU8EeW_lSIAC0kOqg",b13caf504abde2faae67cdbf0ac222e7d321af56,"手残渣渣","<co-content><text>第一次尝试，得加强练习</text><text /><img assetId=\"KIQuJCU6EeWP7g6Ai0Xe7w\" alt=\"\" /><text /></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","iCjGL","","","",2015-07-08 06:41:16.774,2015-07-08 06:41:16.774
"epLJRhreEeWHGCIACznL2w",9ef4740f69805f76f1ee21ee8d7541769c437f5f,"702节视频中的问题，提法","<co-content><text>视频中问题的提法似乎与答案刚好相反……</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","gPRr9","","","",2015-06-25 02:04:14.617,2015-06-25 02:04:14.617
"2sHGchrQEeWd3iIAC7VAtA",9ef4740f69805f76f1ee21ee8d7541769c437f5f,"405 抛物线 课件","<co-content><text>本节视频似乎没有对应的讲义，谢谢！ </text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","mvm51","","","",2015-06-25 00:26:43.032,2015-06-25 00:26:43.032
"mqbyFxOiEeWHGCIACznL2w",ac42bbaef7ffacda82edb86955f70c384e204a36,"Subtitles","<co-content><text>Subtitles\\n</text><text>Hi there. Any subtitles in english?</text></co-content>","course","POZJ3uOtEeSoXCIACw4Gzg","","","","","",2015-06-15 21:08:00.493,2015-06-15 21:08:00.493
"yZUOvvpDEeWnyw45DXyCTw",6bf51fdb77bdd3eb7cd9ff48735671232162db5c,"找不到可以下载的，难道大陆的不可以下？","<co-content><text>找不到可以下载的</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","du7Yk","","","",2016-04-04 09:01:15.641,2016-04-04 09:01:15.641
"DwTsxP2aEeWS4Ar9qFG8UQ",c3ea45a654f0053b5e7a7d0594a82c72be8ff8e2,"安裝失敗，怎麽辦？","<co-content><text>安裝失敗， 在安裝的過程中，見到一下面的資訊， 我應該怎麽辦呢？</text><img assetId=\"0Ja32f2ZEeWVehKIc31qNw\" alt=\"\"/><text/></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","du7Yk","","","",2016-04-08 14:56:22.344,2016-04-08 14:56:22.344
"FgB1oL0gEeWlQwoU9G612w",965d307469473b578a8607a357924882fa377c24,"工程影片","<co-content><text>说起工程影片，想到了smartisan T1的宣传片，还是很有用的哈哈。</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","7DQYI","","","",2016-01-17 13:42:01.04,2016-01-17 13:42:01.04
