peer_assignment_id,peer_assignment_base_id,peer_assignment_type,peer_assignment_required_review_count,peer_assignment_passing_fraction,peer_assignment_required_reviewer_count_for_score,peer_assignment_required_wait_for_score_ms,peer_assignment_maximum_score,peer_assignment_update_ts
"lPnnmgiwEeWCQyIAC5XEog@8","lPnnmgiwEeWCQyIAC5XEog","graded",5,0.8,5,86400000,27,2015-06-10 23:54:42.114
"-biz_QZbEeW7kSIACySI9A@1","-biz_QZbEeW7kSIACySI9A","standard",5,,,,,2015-05-29 23:39:40.634
"lPnnmgiwEeWCQyIAC5XEog@2","lPnnmgiwEeWCQyIAC5XEog","graded",5,0.8,5,86400000,3,2015-06-01 23:35:10.841
"zwkOqgjdEeWeSiIACymIuA@5","zwkOqgjdEeWeSiIACymIuA","standard",5,,,,,2015-06-10 06:02:58.685
"RqtD8gZEEeWUACIAC5cRqg@6","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-05-29 22:21:51.669
"hnL5aAjbEeWi2iIAC7RHVw@10","hnL5aAjbEeWi2iIAC7RHVw","standard",5,,,,1,2016-03-22 23:20:49.359
"zwkOqgjdEeWeSiIACymIuA@6","zwkOqgjdEeWeSiIACymIuA","standard",5,,,,,2015-06-11 00:15:00.162
"zwkOqgjdEeWeSiIACymIuA@4","zwkOqgjdEeWeSiIACymIuA","standard",5,,,,,2015-06-02 04:17:52.598
"Yt0OUgjCEeWk6iIAC3_PpA@2","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,1,2015-06-02 01:09:05.096
"Yt0OUgjCEeWk6iIAC3_PpA@8","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,15,2015-06-10 06:12:18.389
"-biz_QZbEeW7kSIACySI9A@6","-biz_QZbEeW7kSIACySI9A","standard",5,,,,,2015-06-01 18:24:19.467
"-biz_QZbEeW7kSIACySI9A@7","-biz_QZbEeW7kSIACySI9A","standard",5,,,,,2016-03-22 23:25:17.177
"mOdhnQjIEeWRIiIAC9lFJw@1","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,1,2015-06-02 01:42:15.659
"hnL5aAjbEeWi2iIAC7RHVw@1","hnL5aAjbEeWi2iIAC7RHVw","standard",5,,,,1,2015-06-02 03:57:45.138
"s8EwFwYvEeWW0yIAC5cQUQ@1","s8EwFwYvEeWW0yIAC5cQUQ","standard",5,,,,,2015-05-29 18:22:45.377
"lPnnmgiwEeWCQyIAC5XEog@3","lPnnmgiwEeWCQyIAC5XEog","graded",5,0.8,5,86400000,3,2015-06-01 23:41:09.73
"zwkOqgjdEeWeSiIACymIuA@3","zwkOqgjdEeWeSiIACymIuA","standard",5,,,,,2015-06-02 04:16:03.941
"RqtD8gZEEeWUACIAC5cRqg@3","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-05-29 20:53:53.21
"mOdhnQjIEeWRIiIAC9lFJw@3","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,1,2015-06-02 02:45:11.097
"lPnnmgiwEeWCQyIAC5XEog@6","lPnnmgiwEeWCQyIAC5XEog","graded",5,0.8,5,86400000,27,2015-06-02 00:20:17.341
"RqtD8gZEEeWUACIAC5cRqg@7","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-06-10 22:50:07.964
"Yt0OUgjCEeWk6iIAC3_PpA@4","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,12,2015-06-02 01:16:41.348
"f3MV8QimEeWTpSIAC4-MSg@2","f3MV8QimEeWTpSIAC4-MSg","standard",5,,,,,2015-06-01 22:25:43.179
"f3MV8QimEeWTpSIAC4-MSg@5","f3MV8QimEeWTpSIAC4-MSg","standard",5,,,,,2016-03-22 22:54:58.176
"zwkOqgjdEeWeSiIACymIuA@2","zwkOqgjdEeWeSiIACymIuA","standard",5,,,,,2015-06-02 04:15:14.25
"-biz_QZbEeW7kSIACySI9A@5","-biz_QZbEeW7kSIACySI9A","standard",5,,,,,2015-06-01 18:24:02.994
"hnL5aAjbEeWi2iIAC7RHVw@3","hnL5aAjbEeWi2iIAC7RHVw","standard",5,,,,1,2015-06-02 04:01:14.301
"f3MV8QimEeWTpSIAC4-MSg@3","f3MV8QimEeWTpSIAC4-MSg","standard",5,,,,,2015-06-01 22:27:34.963
"lPnnmgiwEeWCQyIAC5XEog@7","lPnnmgiwEeWCQyIAC5XEog","graded",5,0.8,5,86400000,27,2015-06-08 23:25:37.78
"ZAMmhwiXEeW3OCIAC44JnQ@9","ZAMmhwiXEeW3OCIAC44JnQ","standard",5,,,,,2015-06-24 18:05:56.099
"Yt0OUgjCEeWk6iIAC3_PpA@9","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,15,2015-06-10 06:13:35.446
"mOdhnQjIEeWRIiIAC9lFJw@5","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,5,2015-06-02 02:47:14.166
"RqtD8gZEEeWUACIAC5cRqg@8","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-06-10 23:44:08.695
"hnL5aAjbEeWi2iIAC7RHVw@8","hnL5aAjbEeWi2iIAC7RHVw","standard",5,,,,1,2015-06-10 23:15:22.394
"Yt0OUgjCEeWk6iIAC3_PpA@6","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,15,2015-06-02 01:19:14.045
"lPnnmgiwEeWCQyIAC5XEog@1","lPnnmgiwEeWCQyIAC5XEog","graded",5,0.8,5,86400000,3,2015-06-01 22:50:21.142
"RqtD8gZEEeWUACIAC5cRqg@5","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-05-29 22:19:23.918
"-biz_QZbEeW7kSIACySI9A@3","-biz_QZbEeW7kSIACySI9A","standard",5,,,,,2015-06-01 18:19:18.971
"RqtD8gZEEeWUACIAC5cRqg@4","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-05-29 20:58:20.322
"zwkOqgjdEeWeSiIACymIuA@7","zwkOqgjdEeWeSiIACymIuA","standard",5,,,,,2016-03-22 23:42:09.533
"s8EwFwYvEeWW0yIAC5cQUQ@2","s8EwFwYvEeWW0yIAC5cQUQ","standard",5,,,,,2015-05-29 18:23:31.574
"mOdhnQjIEeWRIiIAC9lFJw@11","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,21,2015-06-10 16:03:18.786
"RqtD8gZEEeWUACIAC5cRqg@9","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-06-10 23:45:01.676
"zwkOqgjdEeWeSiIACymIuA@1","zwkOqgjdEeWeSiIACymIuA","standard",5,,,,,2015-06-02 04:14:05.921
"hnL5aAjbEeWi2iIAC7RHVw@7","hnL5aAjbEeWi2iIAC7RHVw","standard",5,,,,1,2015-06-10 05:40:59.144
"RqtD8gZEEeWUACIAC5cRqg@1","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-05-29 20:50:01.792
"mOdhnQjIEeWRIiIAC9lFJw@10","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,21,2015-06-10 05:47:31.33
"Yt0OUgjCEeWk6iIAC3_PpA@5","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,15,2015-06-02 01:18:03.455
"Yt0OUgjCEeWk6iIAC3_PpA@10","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,15,2015-06-10 06:28:00.886
"-biz_QZbEeW7kSIACySI9A@4","-biz_QZbEeW7kSIACySI9A","standard",5,,,,,2015-06-01 18:22:26.32
"mOdhnQjIEeWRIiIAC9lFJw@8","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,21,2015-06-02 03:00:12.302
"mOdhnQjIEeWRIiIAC9lFJw@4","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,5,2015-06-02 02:46:55.176
"hnL5aAjbEeWi2iIAC7RHVw@5","hnL5aAjbEeWi2iIAC7RHVw","standard",5,,,,1,2015-06-02 04:03:56.063
"hnL5aAjbEeWi2iIAC7RHVw@9","hnL5aAjbEeWi2iIAC7RHVw","standard",5,,,,1,2015-06-11 00:13:53.17
"ZAMmhwiXEeW3OCIAC44JnQ@5","ZAMmhwiXEeW3OCIAC44JnQ","standard",5,,,,,2015-06-01 21:29:06.023
"hnL5aAjbEeWi2iIAC7RHVw@4","hnL5aAjbEeWi2iIAC7RHVw","standard",5,,,,1,2015-06-02 04:02:00.56
"ZAMmhwiXEeW3OCIAC44JnQ@6","ZAMmhwiXEeW3OCIAC44JnQ","standard",5,,,,,2015-06-01 21:30:36.568
"RqtD8gZEEeWUACIAC5cRqg@10","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-11-02 23:39:25.552
"mOdhnQjIEeWRIiIAC9lFJw@2","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,1,2015-06-02 02:44:06.355
"f3MV8QimEeWTpSIAC4-MSg@4","f3MV8QimEeWTpSIAC4-MSg","standard",5,,,,,2015-06-01 22:27:41.813
"-biz_QZbEeW7kSIACySI9A@2","-biz_QZbEeW7kSIACySI9A","standard",5,,,,,2015-05-29 23:52:39.452
"s8EwFwYvEeWW0yIAC5cQUQ@3","s8EwFwYvEeWW0yIAC5cQUQ","standard",5,,,,,2016-03-22 23:30:48.16
"ZAMmhwiXEeW3OCIAC44JnQ@10","ZAMmhwiXEeW3OCIAC44JnQ","standard",5,,,,,2016-03-22 23:22:18.785
"f3MV8QimEeWTpSIAC4-MSg@1","f3MV8QimEeWTpSIAC4-MSg","standard",5,,,,,2015-06-01 21:38:10.063
"mOdhnQjIEeWRIiIAC9lFJw@9","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,21,2015-06-02 03:07:36.745
"Yt0OUgjCEeWk6iIAC3_PpA@11","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,15,2015-06-10 23:12:15.544
"Yt0OUgjCEeWk6iIAC3_PpA@12","Yt0OUgjCEeWk6iIAC3_PpA","phased",5,0.8,5,86400000,15,2016-03-22 23:37:47.563
"mOdhnQjIEeWRIiIAC9lFJw@6","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,16,2015-06-02 02:58:14.84
"ZAMmhwiXEeW3OCIAC44JnQ@7","ZAMmhwiXEeW3OCIAC44JnQ","standard",5,,,,,2015-06-01 22:35:22.997
"lPnnmgiwEeWCQyIAC5XEog@4","lPnnmgiwEeWCQyIAC5XEog","graded",5,0.8,5,86400000,9,2015-06-02 00:05:00.054
"RqtD8gZEEeWUACIAC5cRqg@11","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-11-16 21:51:41.88
"ZAMmhwiXEeW3OCIAC44JnQ@4","ZAMmhwiXEeW3OCIAC44JnQ","standard",5,,,,,2015-06-01 21:17:22.261
"Yt0OUgjCEeWk6iIAC3_PpA@7","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,15,2015-06-09 01:15:05.399
"Yt0OUgjCEeWk6iIAC3_PpA@1","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,1,2015-06-02 00:57:48.013
"lPnnmgiwEeWCQyIAC5XEog@5","lPnnmgiwEeWCQyIAC5XEog","graded",5,0.8,5,86400000,27,2015-06-02 00:16:09.445
