discussion_answer_id,taiwan_discussions_user_id,course_id,discussion_answer_content,discussion_question_id,discussion_answer_parent_discussion_answer_id,discussion_answer_created_ts,discussion_answer_updated_ts
"OOHaIRWpEeWA7CIAC5WDNQ",d5055c39f32899851546b1ab684e000dd83eabbb,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>下不了，提示错误什么的，崩溃</text></co-content>","AzTGsBPKEeWM2iIAC0KUpw","",2015-06-18 11:00:25.265,2015-06-18 11:00:25.265
"5-iBVxfXEeWM2iIAC0KUpw",4cbe59d0a3abee602f70c93a76e971c8c7ec5a21,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>I would like to suggest to put the video transcripts for now if it is possible. It would help to students who don't know Chinese.</text></co-content>","HOVQshOlEeWHGCIACznL2w","",2015-06-21 05:39:38.085,2015-06-21 05:39:38.085
"GoUJwhf5EeWA7CIAC5WDNQ",4cbe59d0a3abee602f70c93a76e971c8c7ec5a21,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>Thanks guys! </text></co-content>","iatAdBfWEeWYoCIAC5MBcw","cbLOaRf4EeWmISIAC9QOog",2015-06-21 09:37:16.389,2015-06-21 09:37:16.389
"b4IpumDVEeWj1gq-TlMDjw",ef49cc71159182d244c62c9fab3c32e75209d55c,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>还有一种方式，就是输入数字之后，按出小于符号（shift+&lt;），就能出现老师视频里的那种角度输入效果</text></co-content>","zcsNVTLUEeWNVyIAC0uErA","",2015-09-22 02:55:51.977,2015-09-22 02:55:51.977
"CZObWRQiEeWHGCIACznL2w",b303e4355e54c9a5f5a55d0d0e7d638f367981a1,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>noted, thanks</text></co-content>","IJhWRBQDEeWYoCIAC5MBcw","",2015-06-16 12:20:12.678,2015-06-16 12:20:12.678
"1iBjaRiCEeWmISIAC9QOog",66fc3c9d6c970faffe2fcd5da876b5935ebab641,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>Aha,maybe you can use other software to help to better download ,such as IDM (Interner download manager,eagleget and etc)</text></co-content>","d5a7pBf9EeWHGCIACznL2w","",2015-06-22 02:03:12.193,2015-06-22 02:03:12.193
"xO186Tf9EeWF2iIACyygBg",66fc3c9d6c970faffe2fcd5da876b5935ebab641,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>Not bad</text></co-content>","VYVowSU8EeW_lSIAC0kOqg","",2015-08-01 03:31:17.482,2015-08-01 03:31:17.482
"DXBuHFdqEeWRLxJ9FkuKHQ",c4f78f0ea44d65b4b00eb1a789b78278d0b96724,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>好厉害</text></co-content>","LyIsUjzUEeW2ASIACxeTpg","",2015-09-10 03:14:30.829,2015-09-10 03:14:30.829
"ZmCxsR1qEeWHGCIACznL2w",88772ccf43373f47944c5b7a7e82152021ff680b,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>I can't even get the english subtitles on the streaming version of the lectures??? Please solve this problem, I am very interested in this class!!</text></co-content>","ltnC-RZwEeWd3iIAC7VAtA","",2015-06-28 07:50:52.602,2015-06-28 07:50:52.602
"GLiEbx1rEeWHGCIACznL2w",88772ccf43373f47944c5b7a7e82152021ff680b,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>Or an explanation on how to use the webvtt files ... in english, maybe. :)</text><text/></co-content>","ltnC-RZwEeWd3iIAC7VAtA","",2015-06-28 07:55:51.812,2015-06-28 07:55:51.812
"DXwWmBg0EeWmISIAC9QOog",19cf6e5c978d57422143dc4eb6f4ddd7782eec16,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>我说的就是下面电脑操作的题目啊</text></co-content>","8EGVKxYsEeWYoCIAC5MBcw","X0jlqRZsEeWM2iIAC0KUpw",2015-06-21 16:39:14.827,2015-06-21 16:40:09.606
"o95p4BTVEeWHGCIACznL2w",19cf6e5c978d57422143dc4eb6f4ddd7782eec16,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>重做了下，换了题目没有问题了，强烈怀疑是不是答案设置错误了</text></co-content>","nMho8xTUEeWM2iIAC0KUpw","",2015-06-17 09:45:51.452,2015-06-17 09:45:51.452
"MeRWbBTXEeWA7CIAC5WDNQ",19cf6e5c978d57422143dc4eb6f4ddd7782eec16,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>明白了，非常感谢，我想问下我可以先修习完全部课程，然后再根据最后需要看是否需要支付认证费用参加最后的毕业项目吗？因为还在念书。如果这样可行，那么最后还可以获得表现优秀可以递送简历的机会吗？</text></co-content>","B_SunxPxEeWmISIAC9QOog","gbMEbRRFEeWd3iIAC7VAtA",2015-06-17 09:56:59.224,2015-06-18 08:59:21.998
"UuBstBWYEeWHGCIACznL2w",19cf6e5c978d57422143dc4eb6f4ddd7782eec16,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>明白了，非常感谢，我想问下我可以先修习完全部课程，然后再根据最后需要看是否需要支付认证费用参加最后的毕业项目吗？因为还在念书。如果这样可行，那么最后还可以获得表现优秀可以递送简历的机会吗？</text></co-content>","B_SunxPxEeWmISIAC9QOog","",2015-06-18 08:59:27.432,2015-06-18 08:59:27.432
"ALueohg0EeWd3iIAC7VAtA",19cf6e5c978d57422143dc4eb6f4ddd7782eec16,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>这个题目有bug，我也有遇到这题，后来重做换了题目就好了</text></co-content>","8EGVKxYsEeWYoCIAC5MBcw","0pVaEBaGEeWHGCIACznL2w",2015-06-21 16:38:53.433,2015-06-21 16:38:53.433
"7WRv6hTVEeWM2iIAC0KUpw",19cf6e5c978d57422143dc4eb6f4ddd7782eec16,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>输入长度后直接输入小于号，然后输入度数的值，把键盘调出来查下当前输入法小于号在哪里</text></co-content>","Y_Cx-xQ8EeWHGCIACznL2w","",2015-06-17 09:47:54.804,2015-06-17 09:47:54.804
"RES-_Rg0EeWd3iIAC7VAtA",19cf6e5c978d57422143dc4eb6f4ddd7782eec16,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>哦哦，我明白你的意思了，其中有一题我也觉得是bug，重做换题就好了</text></co-content>","8EGVKxYsEeWYoCIAC5MBcw","X0jlqRZsEeWM2iIAC0KUpw",2015-06-21 16:40:46.739,2015-06-21 16:40:46.739
"X0jlqRZsEeWM2iIAC0KUpw",19cf6e5c978d57422143dc4eb6f4ddd7782eec16,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>没有bug啊，不是给了各个直径的距离吗？d1=10，就是10个单位啊，你画的时候直径输入10就可以了</text></co-content>","8EGVKxYsEeWYoCIAC5MBcw","",2015-06-19 10:17:21.556,2015-06-19 10:17:21.556
"wmo25yAZEeWHGCIACznL2w",19cf6e5c978d57422143dc4eb6f4ddd7782eec16,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>谢谢！我找到设置的地方了</text></co-content>","Z8qMLB29EeWYoCIAC5MBcw","o92hvB8lEeWM2iIAC0KUpw",2015-07-01 17:51:11.268,2015-07-01 17:51:11.268
"dAxcIVyJEeWWvApdRud_EQ",9200de2d5414d98ec4cfb00ae7530f2c279ab2b0,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>好美的線條和造型～厲害！</text></co-content>","LyIsUjzUEeW2ASIACxeTpg","",2015-09-16 15:41:53.191,2015-09-16 15:41:53.191
"SrCNq_nLEeWUlRKoMCES4w",d806651b6a9251db0c4245ab9031e999555d8597,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>use caption to hear when he speaks</text><text>but the text on screen at tlhe end and submit doest not have caption on</text></co-content>","lLLJTffJEeW6Zw7gOA-Tyw","",2016-04-03 18:38:43.143,2016-04-03 18:38:43.143
"lGALyRQ2EeWM2iIAC0KUpw",e9200bfc8fa6d5c064a2e1a6dbb1af5f0719d702,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>借樓問一下，如果我先完成課程再繳費可以得到證書嗎？可以繼續專項課程嗎？</text></co-content>","5UfTIRPGEeWM2iIAC0KUpw","",2015-06-16 14:47:15.478,2015-06-16 14:47:15.478
"iJQeSs2JEeWaURKFEvfOjQ",fca32cbb242009ae4ff295d396ec106dd06c33f2,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>兄弟处理好了吗？我也遇到了同样的问题</text><text></text></co-content>","SzT8KltrEeWkVgp3YUjFSw","aZgb51tsEeWYng6rkEfI9w",2016-02-07 10:57:09.029,2016-02-07 10:57:09.029
"hKJcFU5uEeWBRg5dvElQww",97c0a6cff5439b1f8f149152fe73f6f80be42831,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>膝盖已上交，刚看完视频，正在纠结这个问题。</text></co-content>","FayOZRsoEeWd3iIAC7VAtA","",2015-08-29 16:53:48.327,2015-08-29 16:53:48.327
"uyvYlk5uEeWUBw792DK9fQ",97c0a6cff5439b1f8f149152fe73f6f80be42831,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>原来我不是一个人_(:зゝ∠)_</text><text>支点法画出来的圆根本不能看</text><text>原来是要转动纸张</text></co-content>","w30JASFbEeWYoCIAC5MBcw","",2015-08-29 16:55:19.825,2015-08-29 16:55:19.825
"3qFMh05uEeWpgBJUo9Z-Uw",97c0a6cff5439b1f8f149152fe73f6f80be42831,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>应该是六个吧。</text></co-content>","-Cqm2SeAEeWSQSIAC5cRKQ","",2015-08-29 16:56:19.315,2015-08-29 16:56:19.315
"DSLGiT9ZEeWm9SIAC5HAew",97c0a6cff5439b1f8f149152fe73f6f80be42831,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>谢谢解答！奇怪了半天_(:зゝ∠)_</text></co-content>","ZPxYtC-VEeWeoSIAC0aC-w","nD2-rjZvEeWNVyIAC0uErA",2015-08-10 12:12:20.969,2015-08-10 12:12:20.969
"MK8mjDw7EeWidSIAC7TGaQ",4a0bb82c04cb00486c9b8408d881071a0cf16874,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>請問,為甚麼我改成視圖的西南角後,不能像教學影片中畫300單位的線,..會超出螢幕圖紙範圍,而且無法縮小呢??</text></co-content>","GCBM2zK0EeWNVyIAC0uErA","",2015-08-06 13:01:02.219,2015-08-06 13:01:02.219
"98MAnDxFEeWGtiIAC7XhOg",4a0bb82c04cb00486c9b8408d881071a0cf16874,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>是的,在切換視角了以後，才有超出圖紙範圍  </text><text>原本未更改視角之前...</text><img assetId=\"YEOV2zxFEeWNnhLBZy0LHQ\" alt=\"\"/><text>後更改視角之後...300單位整個超出銀幕範圍..而且超出蠻多的..</text><text>在圖紙上已經是用滑鼠滾輪縮小至不能再縮小了...(如下圖)</text><img assetId=\"drA-uzxFEeWqOA5s4RkvPQ\" alt=\"\"/><text>想請問助教,是設定跑掉還是切視角時操作錯誤呢?</text><text>謝謝~~</text></co-content>","GCBM2zK0EeWNVyIAC0uErA","MK8mjDw7EeWidSIAC7TGaQ",2015-08-06 14:18:11.183,2015-08-06 14:24:52.638
"-DB_VzzQEeW2ASIACxeTpg",4a0bb82c04cb00486c9b8408d881071a0cf16874,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>助教,謝謝你~~~這樣可以了,感謝!!</text></co-content>","GCBM2zK0EeWNVyIAC0uErA","MK8mjDw7EeWidSIAC7TGaQ",2015-08-07 06:53:11.946,2015-08-07 06:53:11.946
"xYHYlBdYEeWA7CIAC5WDNQ",e55fdbe2e555af601d22bb4962c1d10a02b875f5,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>so it got delayed?</text></co-content>","HOVQshOlEeWHGCIACznL2w","",2015-06-20 14:29:34.285,2015-06-20 14:29:34.285
"j1YQZi0lEeWOkCIAC4UG7w",4d420435417052450f9f8bc2d7a665f2e4554897,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>从业一般都需要有一定的标准。所以，完成课程之后直接去从事这样的工作，应该还有一定的难度，要看企业对入职人员的具体要求了。：）</text></co-content>","CbRJQixkEeWTqyIAC44O4Q","",2015-07-18 08:18:24.649,2015-07-18 08:18:24.649
"AVQpN4ClEeWJ9A6FwJWGqQ",4d420435417052450f9f8bc2d7a665f2e4554897,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>其实助教都是很认真的哦。我经常收到助教的回复哟~~</text></co-content>","p3OS7oB7EeWZiRK7avAQuw","wLPS04CZEeWFDQ4Rhv_F_Q",2015-11-01 14:29:48.492,2015-11-01 14:29:48.492
"Zo8vIyx6EeWBXCIACyUiNQ",4d420435417052450f9f8bc2d7a665f2e4554897,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>原因是网络连接有问题。</text></co-content>","uL4gSyxYEeWyOiIAC7aEiQ","",2015-07-17 11:53:12.296,2015-07-17 11:53:12.296
"IlYTVDpMEeWnMCIAC9gGzQ",4d420435417052450f9f8bc2d7a665f2e4554897,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>帮我也评一下吧。前面两次的互评作业。也不知道为什么今天显示课程开始时间是2424年7月17日。另外，Coursera 的互评机制现在竟然可以互评已经得分的同学。这样随机分配的话，那岂不是有些没有得分的人总是轮不到互评了么？╮(╯-╰)╭</text></co-content>","5tDVgjnzEeWF2iIACyygBg","",2015-08-04 01:57:17.266,2015-08-04 01:57:17.266
"vjVfK0IlEeWTMBKhOZsGeQ",4d420435417052450f9f8bc2d7a665f2e4554897,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>好厉害~~~是导入图片描的么？</text></co-content>","LyIsUjzUEeW2ASIACxeTpg","",2015-08-14 01:42:37.706,2015-08-14 01:42:37.706
"03k854QxEeW9yQ6NDqh2LQ",4d420435417052450f9f8bc2d7a665f2e4554897,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>应该属于个人网络问题。</text></co-content>","p3OS7oB7EeWZiRK7avAQuw","KMTGeoQsEeWaOxK2u5ceiQ",2015-11-06 02:55:24.087,2015-11-06 02:55:24.087
"5CfcH4DtEeWFDQ4Rhv_F_Q",4d420435417052450f9f8bc2d7a665f2e4554897,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>有些问题我的确是在论坛回复的。一些助教很积极回复的呢。</text></co-content>","p3OS7oB7EeWZiRK7avAQuw","wLPS04CZEeWFDQ4Rhv_F_Q",2015-11-01 23:11:32.809,2015-11-01 23:11:32.809
"D-41IDQtEeWPACIACw4G5w",4d420435417052450f9f8bc2d7a665f2e4554897,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>图片没有问题。是网页上显示图片的位置是 16：9的原因。你把图片保存到电脑上看就好了。</text></co-content>","un6s1zQGEeWPACIACw4G5w","",2015-07-27 06:59:45.011,2015-07-27 06:59:45.011
"gDTyyRwWEeWHGCIACznL2w",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text /><img alt=\"\" assetId=\"dvWzARwWEeWT4xIQSlDIfw\" /><text /></co-content>","FayOZRsoEeWd3iIAC7VAtA","PJL28Rv1EeWmISIAC9QOog",2015-06-26 15:17:47.048,2015-06-26 15:17:47.048
"6P6dixx1EeWd3iIAC7VAtA",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text/><img assetId=\"0Nr1vBx1EeWDGArHuLEoZw\" alt=\"\"/><text/></co-content>","FayOZRsoEeWd3iIAC7VAtA","PJL28Rv1EeWmISIAC9QOog",2015-06-27 02:40:45.042,2015-06-27 02:40:45.042
"cSaUfRwWEeWA7CIAC5WDNQ",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text> 可是。。是手绘课程。。老师课程中说可以手绘出来。</text><img alt=\"\" assetId=\"WuyTQBwWEeWT4xIQSlDIfw\" /><text /></co-content>","FayOZRsoEeWd3iIAC7VAtA","PJL28Rv1EeWmISIAC9QOog",2015-06-26 15:17:21.788,2015-06-26 15:17:21.788
"WFc_rBwSEeWd3iIAC7VAtA",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text> 那个。。。=-=。。是要7个角。。我表达错了TAT</text><img assetId=\"Rr3JlRwSEeWqdxIx0N1-TQ\" alt=\"\" /><text /></co-content>","FayOZRsoEeWd3iIAC7VAtA","PJL28Rv1EeWmISIAC9QOog",2015-06-26 14:48:02.177,2015-06-26 14:48:02.177
"cwg_9hx1EeWHGCIACznL2w",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text/><img assetId=\"kxaxEBx0EeWx0AoAiRdzOQ\" alt=\"\"/><text/></co-content>","FayOZRsoEeWd3iIAC7VAtA","PJL28Rv1EeWmISIAC9QOog",2015-06-27 02:37:27.134,2015-06-27 02:37:27.134
"WSPx2Rx0EeWA7CIAC5WDNQ",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text> 你说的那种方法好像不太行╮(╯▽╰)╭。第一幅图：可以吧角分7分科室不是180度的 。第二幅图；我试了下。。。一点都不平分TAT 。第三幅图；我根据第二幅图想到了一个方法试了下可以到可以就是。。。局限性比较大因为我是先把线分7分在画</text></co-content>","FayOZRsoEeWd3iIAC7VAtA","PJL28Rv1EeWmISIAC9QOog",2015-06-27 02:29:34.198,2015-06-27 02:29:34.198
"tf-Aphx1EeWmISIAC9QOog",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text/><img assetId=\"ljLvoRx1EeWZag7uoPxvUQ\" alt=\"\"/><text/></co-content>","FayOZRsoEeWd3iIAC7VAtA","PJL28Rv1EeWmISIAC9QOog",2015-06-27 02:39:19.484,2015-06-27 02:39:19.484
"oq31TRx8EeWA7CIAC5WDNQ",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>。。。。。TAT好吧。O(∩_∩)O谢谢</text><img assetId=\"luMBtBx8EeWx0AoAiRdzOQ\" alt=\"\"/><text/></co-content>","FayOZRsoEeWd3iIAC7VAtA","PJL28Rv1EeWmISIAC9QOog",2015-06-27 03:28:53.55,2015-06-27 03:28:53.55
"tdAeiRs1EeWYoCIAC5MBcw",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>Thank you for your compliments   </text><img alt=\"\" assetId=\"eXhFjhs1EeWtDg6Nt8-kQQ\" /><text /></co-content>","G1dKsBpmEeWd3iIAC7VAtA","rANp7BqHEeWM2iIAC0KUpw",2015-06-25 12:28:40.22,2015-06-25 12:28:40.22
"e8m7TBwUEeWA7CIAC5WDNQ",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text> 噗。。。不是我出的啦。是课程视屏中的某一个老师跳过没说不会的步骤截图呐！</text></co-content>","FayOZRsoEeWd3iIAC7VAtA","PJL28Rv1EeWmISIAC9QOog",2015-06-26 15:03:20.641,2015-06-26 15:03:20.641
"uLrIIRvZEeWHGCIACznL2w",ed98da8dcb0860716248d4ee1ead6c7c6ab3c9cd,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text> O(∩_∩)O谢谢老师指点~~~~~~会多加练习注意的~！</text><img alt=\"\" assetId=\"rGlAXRvZEeWCGAqsq1nATw\" /><text /></co-content>","QRlHwRpbEeWA7CIAC5WDNQ","tx_yYBu2EeWYoCIAC5MBcw",2015-06-26 08:02:42.577,2015-06-26 08:02:42.577
"HBvW7r96EeWc7QoaaZlQOQ",3458c881bd1a4caa7ffbc57aec2783b966444bed,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>很棒的课程，谢谢康老师</text></co-content>","p3OS7oB7EeWZiRK7avAQuw","",2016-01-20 13:31:28.317,2016-01-20 13:31:28.317
"68tt9hY6EeWd3iIAC7VAtA",cbe977c53a5fe70799003a13267cd2066baca3b0,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>I agree with Sergio, It would be nice to havethe videos with subtitles in English or Spanish.</text></co-content>","WmXkQBQ0EeWHGCIACznL2w","",2015-06-19 04:23:22.456,2015-06-19 04:23:22.456
"ctluVB-NEeWmISIAC9QOog",fe46a6917118fdb2e87021966e7db9918ee3cb26,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>喔對呀~那好像是需要選擇\"中點\"?:P</text><text>很謝謝你們~</text><text>　</text></co-content>","kLowYh4MEeWd3iIAC7VAtA","ZYrVuR5cEeWM2iIAC0KUpw",2015-07-01 01:06:48.237,2015-07-01 01:06:48.237
"_nF-tR7bEeWM2iIAC0KUpw",fe46a6917118fdb2e87021966e7db9918ee3cb26,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>你好~</text><text>抱歉 不知道為什麼之前打的內容居然都消失了@@</text><text>我要說的問題是：</text><text>測驗二中有一題，是關於AutoCad裡面的鎖點模式的點的圖樣，</text><text>答案是不是有點怪怪的阿?</text><text>還有411的作業說明，圖片連結好像損毀了~</text><text/></co-content>","kLowYh4MEeWd3iIAC7VAtA","ZYrVuR5cEeWM2iIAC0KUpw",2015-06-30 03:56:32.019,2015-06-30 03:56:32.019
"IlelJRo7EeWA7CIAC5WDNQ",fe46a6917118fdb2e87021966e7db9918ee3cb26,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>對阿，不知道po在這裡製作團隊會不會得到通知去更改，剛剛試了好多次都一直遇到一題~\"~</text></co-content>","8EGVKxYsEeWYoCIAC5MBcw","X0jlqRZsEeWM2iIAC0KUpw",2015-06-24 06:34:58.623,2015-06-24 06:34:58.623
"PEZTaUjPEeWxHxIGetKceQ",7b1e99994ef835839d6f0913d100a71498925c45,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>同问…我发现在Accomplishment页面里面这门课的成绩是在Other Completed Courses下面，不知道是不是要整个专项课完成才有证书…？</text></co-content>","FLlP4T6bEeW2ASIACxeTpg","",2015-08-22 13:11:01.134,2015-08-22 13:11:01.134
"2TtD_YLLEeW9yQ6NDqh2LQ",7b1e99994ef835839d6f0913d100a71498925c45,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>谢谢！</text></co-content>","FLlP4T6bEeW2ASIACxeTpg","aDYuOYEMEeWe6Qot63L7mQ",2015-11-04 08:12:53.918,2015-11-04 08:12:53.918
"5NUWs1eSEeWZ5g4_W5BoCw",191552683106db31543b7c0b349f91274832720c,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>第一个是要电脑绘图，第二个是手绘。</text></co-content>","ZtHzHFM3EeWxHxIGetKceQ","",2015-09-10 08:06:52.068,2015-09-10 08:06:52.068
"xQX_4WXHEeWjjQ6zloxUzw",191552683106db31543b7c0b349f91274832720c,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>是不是大家都比较忙，但是希望大家能够抽出一点时间来审阅作业，谢谢大家。</text></co-content>","7S-UIzKsEeWV8SIACyyfnQ","NoVhMjQ1EeWV8SIACyyfnQ",2015-09-28 10:00:38.307,2015-09-28 10:00:38.307
"YLa-3yqZEeWx_CIAC0cNng",191552683106db31543b7c0b349f91274832720c,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>不好意思，我这里显示不出那道题。麻烦截下屏。</text></co-content>","-Cqm2SeAEeWSQSIAC5cRKQ","",2015-07-15 02:29:54.562,2015-07-15 02:29:54.562
"iJ4YRRXJEeWYoCIAC5MBcw",191552683106db31543b7c0b349f91274832720c,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>同助教，么么哒。</text></co-content>","yoDZahWKEeWmISIAC9QOog","",2015-06-18 14:51:42.934,2015-06-18 14:51:42.934
